"","batches"
"3021","SRP055438"
"3022","SRP055438"
"3023","SRP057118"
"3024","SRP048801"
"3025","SRP072713"
"3026","SRP062966"
"3027","SRP042228"
"3028","SRP065317"
"3029","SRP063006"
"3030","SRP049408"
"3031","SRP062966"
"3032","SRP042228"
"3033","SRP062966"
"3034","SRP073813"
"3035","SRP042228"
"3036","SRP042228"
"3037","SRP066090"
"3038","SRP056792"
"3039","SRP051844"
"3040","SRP048801"
"3041","SRP048759"
"3042","SRP057793"
"3043","SRP062132"
"3044","SRP065193"
"3045","SRP048801"
"3046","SRP071760"
"3047","SRP073447"
"3048","SRP060205"
"3049","SRP042620"
"3050","SRP048801"
"3051","SRP059588"
"3052","SRP051825"
"3053","SRP068591"
"3054","SRP073813"
"3055","SRP069212"
"3056","SRP056477"
"3057","SRP066571"
"3058","SRP062966"
"3059","SRP048801"
"3060","SRP042228"
"3061","SRP071932"
"3062","SRP048801"
"3063","SRP073813"
"3064","SRP051844"
"3065","SRP056477"
"3066","SRP057793"
"3067","SRP062966"
"3068","SRP073813"
"3069","SRP073347"
"3070","SRP071203"
"3071","SRP048759"
"3072","SRP071203"
"3073","SRP049408"
"3074","SRP049820"
"3075","SRP062966"
"3076","SRP062966"
"3077","SRP048801"
"3078","SRP060016"
"3079","SRP044668"
"3080","SRP057793"
"3081","SRP058626"
"3082","SRP071932"
"3083","SRP055730"
"3084","SRP051844"
"3085","SRP044668"
"3086","SRP072713"
"3087","SRP042620"
"3088","SRP056477"
"3089","SRP062966"
"3090","SRP060205"
"3091","SRP048801"
"3092","SRP057793"
"3093","SRP073813"
"3094","SRP071758"
"3095","SRP048801"
"3096","SRP071758"
"3097","SRP073813"
"3098","SRP068591"
"3099","SRP043694"
"3100","SRP072713"
"3101","SRP062966"
"3102","SRP044668"
"3103","SRP069357"
"3104","SRP042228"
"3105","SRP063460"
"3106","SRP048801"
"3107","SRP051844"
"3108","SRP059039"
"3109","SRP048801"
"3110","SRP048801"
"3111","SRP042228"
"3112","SRP066267"
"3113","SRP066090"
"3114","SRP068976"
"3115","SRP073813"
"3116","SRP044668"
"3117","SRP044668"
"3118","SRP048801"
"3119","SRP062885"
"3120","SRP072693"
"3121","SRP052740"
"3122","SRP062966"
"3123","SRP057793"
"3124","SRP073813"
"3125","SRP057793"
"3126","SRP051844"
"3127","SRP042228"
"3128","SRP043085"
"3129","SRP042228"
"3130","SRP060205"
"3131","SRP065193"
"3132","SRP042620"
"3133","SRP070780"
"3134","SRP073813"
"3135","SRP065812"
"3136","SRP072713"
"3137","SRP060205"
"3138","SRP057793"
"3139","SRP070723"
"3140","SRP072494"
"3141","SRP058722"
"3142","SRP066090"
"3143","SRP068976"
"3144","SRP044668"
"3145","SRP056477"
"3146","SRP044668"
"3147","SRP066090"
"3148","SRP062885"
"3149","SRP070548"
"3150","SRP051825"
"3151","SRP059536"
"3152","SRP073813"
"3153","SRP060205"
"3154","SRP073813"
"3155","SRP071758"
"3156","SRP071203"
"3157","SRP073813"
"3158","SRP042228"
"3159","SRP060205"
"3160","SRP062966"
"3161","SRP065812"
"3162","SRP048759"
"3163","SRP073813"
"3164","SRP045500"
"3165","SRP069235"
"3166","SRP068976"
"3167","SRP042228"
"3168","SRP045225"
"3169","SRP049097"
"3170","SRP073813"
"3171","SRP065812"
"3172","SRP071758"
"3173","SRP048801"
"3174","SRP050087"
"3175","SRP049097"
"3176","SRP068591"
"3177","SRP042620"
"3178","SRP049592"
"3179","SRP071203"
"3180","SRP071758"
"3181","SRP043085"
"3182","SRP058107"
"3183","SRP061888"
"3184","SRP044668"
"3185","SRP072494"
"3186","SRP045225"
"3187","SRP073191"
"3188","SRP060205"
"3189","SRP049408"
"3190","SRP058351"
"3191","SRP058351"
"3192","SRP045225"
"3193","SRP042620"
"3194","SRP062966"
"3195","SRP052740"
"3196","SRP048801"
"3197","SRP048759"
"3198","SRP057793"
"3199","SRP042620"
"3200","SRP051844"
"3201","SRP042228"
"3202","SRP058626"
"3203","SRP071758"
"3204","SRP068591"
"3205","SRP052896"
"3206","SRP052056"
"3207","SRP042228"
"3208","SRP055438"
"3209","SRP045225"
"3210","SRP073813"
"3211","SRP055438"
"3212","SRP070710"
"3213","SRP072494"
"3214","SRP068976"
"3215","SRP042228"
"3216","SRP057793"
"3217","SRP068591"
"3218","SRP069235"
"3219","SRP073813"
"3220","SRP071203"
"3221","SRP064478"
"3222","SRP069212"
"3223","SRP052740"
"3224","SRP042228"
"3225","SRP065812"
"3226","SRP048801"
"3227","SRP069235"
"3228","SRP055438"
"3229","SRP051825"
"3230","SRP070710"
"3231","SRP051844"
"3232","SRP044668"
"3233","SRP057793"
"3234","SRP064165"
"3235","SRP048801"
"3236","SRP070780"
"3237","SRP062966"
"3238","SRP068976"
"3239","SRP048801"
"3240","SRP049097"
"3241","SRP066090"
"3242","SRP045225"
"3243","SRP068976"
"3244","SRP042228"
"3245","SRP071760"
"3246","SRP051844"
"3247","SRP050551"
"3248","SRP060205"
"3249","SRP042228"
"3250","SRP048801"
"3251","SRP068591"
"3252","SRP071203"
"3253","SRP058722"
"3254","SRP045225"
"3255","SRP061888"
"3256","SRP063499"
"3257","SRP048759"
"3258","SRP068976"
"3259","SRP062966"
"3260","SRP059039"
"3261","SRP069212"
"3262","SRP071758"
"3263","SRP048801"
"3264","SRP049097"
"3265","SRP073813"
"3266","SRP042228"
"3267","SRP042620"
"3268","SRP071758"
"3269","SRP071203"
"3270","SRP073813"
"3271","SRP042620"
"3272","SRP044668"
"3273","SRP068591"
"3274","SRP073447"
"3275","SRP073813"
"3276","SRP060205"
"3277","SRP048759"
"3278","SRP042228"
"3279","SRP069235"
"3280","SRP072693"
"3281","SRP049592"
"3282","SRP048801"
"3283","SRP062966"
"3284","SRP044668"
"3285","SRP051844"
"3286","SRP073813"
"3287","SRP065812"
"3288","SRP069235"
"3289","SRP068976"
"3290","SRP068976"
"3291","SRP068591"
"3292","SRP057793"
"3293","SRP060016"
"3294","SRP069357"
"3295","SRP056477"
"3296","SRP042228"
"3297","SRP071203"
"3298","SRP045225"
"3299","SRP050551"
"3300","SRP071203"
"3301","SRP073191"
"3302","SRP071932"
"3303","SRP049097"
"3304","SRP045645"
"3305","SRP051844"
"3306","SRP069235"
"3307","SRP048801"
"3308","SRP056792"
"3309","SRP068976"
"3310","SRP068976"
"3311","SRP073813"
"3312","SRP071932"
"3313","SRP056477"
"3314","SRP066090"
"3315","SRP062966"
"3316","SRP068976"
"3317","SRP048801"
"3318","SRP071758"
"3319","SRP062966"
"3320","SRP073813"
"3321","SRP073813"
"3322","SRP042228"
"3323","SRP071203"
"3324","SRP048801"
"3325","SRP059588"
"3326","SRP070710"
"3327","SRP055438"
"3328","SRP057118"
"3329","SRP063460"
"3330","SRP062132"
"3331","SRP068591"
"3332","SRP059588"
"3333","SRP073813"
"3334","SRP045225"
"3335","SRP068591"
"3336","SRP072693"
"3337","SRP065317"
"3338","SRP042228"
"3339","SRP058351"
"3340","SRP052740"
"3341","SRP073813"
"3342","SRP071758"
"3343","SRP069212"
"3344","SRP062885"
"3345","SRP062966"
"3346","SRP058626"
"3347","SRP048801"
"3348","SRP066090"
"3349","SRP048801"
"3350","SRP062966"
"3351","SRP073813"
"3352","SRP048801"
"3353","SRP048801"
"3354","SRP068976"
"3355","SRP049097"
"3356","SRP052740"
"3357","SRP050551"
"3358","SRP073447"
"3359","SRP073813"
"3360","SRP072494"
"3361","SRP057793"
"3362","SRP073813"
"3363","SRP060205"
"3364","SRP048801"
"3365","SRP073347"
"3366","SRP055438"
"3367","SRP045225"
"3368","SRP048801"
"3369","SRP071760"
"3370","SRP050087"
"3371","SRP042620"
"3372","SRP052056"
"3373","SRP042228"
"3374","SRP057793"
"3375","SRP057793"
"3376","SRP067311"
"3377","SRP051825"
"3378","SRP044668"
"3379","SRP045785"
"3380","SRP063006"
"3381","SRP048801"
"3382","SRP052056"
"3383","SRP042620"
"3384","SRP068976"
"3385","SRP069212"
"3386","SRP042228"
"3387","SRP071758"
"3388","SRP051844"
"3389","SRP057793"
"3390","SRP044668"
"3391","SRP044668"
"3392","SRP071760"
"3393","SRP044668"
"3394","SRP042620"
"3395","SRP062885"
"3396","SRP071203"
"3397","SRP049408"
"3398","SRP057793"
"3399","SRP048801"
"3400","SRP061888"
"3401","SRP048801"
"3402","SRP059720"
"3403","SRP058107"
"3404","SRP048801"
"3405","SRP060205"
"3406","SRP069212"
"3407","SRP073813"
"3408","SRP042620"
"3409","SRP048801"
"3410","SRP071932"
"3411","SRP044668"
"3412","SRP069212"
"3413","SRP069212"
"3414","SRP068976"
"3415","SRP052740"
"3416","SRP060566"
"3417","SRP071758"
"3418","SRP047122"
"3419","SRP058722"
"3420","SRP073813"
"3421","SRP069212"
"3422","SRP073813"
"3423","SRP068976"
"3424","SRP070723"
"3425","SRP043085"
"3426","SRP073813"
"3427","SRP042228"
"3428","SRP042228"
"3429","SRP058351"
"3430","SRP048759"
"3431","SRP071203"
"3432","SRP044668"
"3433","SRP069235"
"3434","SRP071760"
"3435","SRP066090"
"3436","SRP073813"
"3437","SRP042228"
"3438","SRP042228"
"3439","SRP050003"
"3440","SRP048801"
"3441","SRP073813"
"3442","SRP068976"
"3443","SRP063838"
"3444","SRP048801"
"3445","SRP059588"
"3446","SRP071203"
"3447","SRP062966"
"3448","SRP049820"
"3449","SRP057793"
"3450","SRP042620"
"3451","SRP065812"
"3452","SRP059039"
"3453","SRP043085"
"3454","SRP044668"
"3455","SRP057793"
"3456","SRP071760"
"3457","SRP051844"
"3458","SRP049097"
"3459","SRP057793"
"3460","SRP045225"
"3461","SRP048801"
"3462","SRP049592"
"3463","SRP048801"
"3464","SRP072494"
"3465","SRP057793"
"3466","SRP065812"
"3467","SRP048801"
"3468","SRP057793"
"3469","SRP048801"
"3470","SRP060016"
"3471","SRP066118"
"3472","SRP048759"
"3473","SRP049408"
"3474","SRP058626"
"3475","SRP042228"
"3476","SRP045500"
"3477","SRP043085"
"3478","SRP048759"
"3479","SRP048759"
"3480","SRP073813"
"3481","SRP065812"
"3482","SRP048801"
"3483","SRP048801"
"3484","SRP072494"
"3485","SRP070710"
"3486","SRP050003"
"3487","SRP062132"
"3488","SRP042228"
"3489","SRP045225"
"3490","SRP073813"
"3491","SRP068976"
"3492","SRP048801"
"3493","SRP073813"
"3494","SRP073813"
"3495","SRP042620"
"3496","SRP062966"
"3497","SRP051844"
"3498","SRP055874"
"3499","SRP060205"
"3500","SRP071758"
"3501","SRP055438"
"3502","SRP071758"
"3503","SRP062966"
"3504","SRP051844"
"3505","SRP057793"
"3506","SRP066090"
"3507","SRP073813"
"3508","SRP062132"
"3509","SRP073813"
"3510","SRP042228"
"3511","SRP065812"
"3512","SRP044668"
"3513","SRP073813"
"3514","SRP063499"
"3515","SRP044668"
"3516","SRP042228"
"3517","SRP070710"
"3518","SRP051844"
"3519","SRP048759"
"3520","SRP070710"
"3521","SRP056477"
"3522","SRP057793"
"3523","SRP050551"
"3524","SRP068591"
"3525","SRP042228"
"3526","SRP044668"
"3527","SRP071760"
"3528","SRP048801"
"3529","SRP060205"
"3530","SRP073813"
"3531","SRP051844"
"3532","SRP057793"
"3533","SRP048801"
"3534","SRP047122"
"3535","SRP042620"
"3536","SRP060016"
"3537","SRP048801"
"3538","SRP063838"
"3539","SRP073347"
"3540","SRP073813"
"3541","SRP068591"
"3542","SRP048759"
"3543","SRP052763"
"3544","SRP062132"
"3545","SRP057793"
"3546","SRP056604"
"3547","SRP057793"
"3548","SRP045225"
"3549","SRP073813"
"3550","SRP069235"
"3551","SRP070548"
"3552","SRP060205"
"3553","SRP052740"
"3554","SRP048801"
"3555","SRP042228"
"3556","SRP042620"
"3557","SRP068591"
"3558","SRP066090"
"3559","SRP042228"
"3560","SRP065812"
"3561","SRP071760"
"3562","SRP060205"
"3563","SRP057793"
"3564","SRP042228"
"3565","SRP060205"
"3566","SRP073813"
"3567","SRP044668"
"3568","SRP071203"
"3569","SRP059588"
"3570","SRP073813"
"3571","SRP043694"
"3572","SRP050087"
"3573","SRP048801"
"3574","SRP066090"
"3575","SRP071203"
"3576","SRP072713"
"3577","SRP062885"
"3578","SRP047122"
"3579","SRP072494"
"3580","SRP045500"
"3581","SRP068591"
"3582","SRP042228"
"3583","SRP073813"
"3584","SRP069357"
"3585","SRP069212"
"3586","SRP048759"
"3587","SRP062966"
"3588","SRP058722"
"3589","SRP066571"
"3590","SRP060205"
"3591","SRP070710"
"3592","SRP073813"
"3593","SRP043694"
"3594","SRP062966"
"3595","SRP042620"
"3596","SRP056477"
"3597","SRP048801"
"3598","SRP048801"
"3599","SRP048801"
"3600","SRP048801"
"3601","SRP042228"
"3602","SRP042620"
"3603","SRP045225"
"3604","SRP048801"
"3605","SRP057793"
"3606","SRP062966"
"3607","SRP042228"
"3608","SRP073813"
"3609","SRP042620"
"3610","SRP062132"
"3611","SRP065491"
"3612","SRP060016"
"3613","SRP071758"
"3614","SRP070710"
"3615","SRP045225"
"3616","SRP073813"
"3617","SRP068976"
"3618","SRP042228"
"3619","SRP059536"
"3620","SRP068976"
"3621","SRP049820"
"3622","SRP042228"
"3623","SRP068591"
"3624","SRP073447"
"3625","SRP063838"
"3626","SRP060205"
"3627","SRP049820"
"3628","SRP042620"
"3629","SRP069212"
"3630","SRP062966"
"3631","SRP069212"
"3632","SRP048801"
"3633","SRP050596"
"3634","SRP049820"
"3635","SRP050272"
"3636","SRP069235"
"3637","SRP069212"
"3638","SRP042620"
"3639","SRP049097"
"3640","SRP072693"
"3641","SRP073813"
"3642","SRP057793"
"3643","SRP071203"
"3644","SRP073813"
"3645","SRP042228"
"3646","SRP045225"
"3647","SRP072693"
"3648","SRP066090"
"3649","SRP046293"
"3650","SRP062966"
"3651","SRP045500"
"3652","SRP042620"
"3653","SRP042228"
"3654","SRP073813"
"3655","SRP043694"
"3656","SRP071203"
"3657","SRP063006"
"3658","SRP050551"
"3659","SRP058722"
"3660","SRP048801"
"3661","SRP042228"
"3662","SRP073813"
"3663","SRP073813"
"3664","SRP057793"
"3665","SRP056792"
"3666","SRP044668"
"3667","SRP071758"
"3668","SRP068976"
"3669","SRP044668"
"3670","SRP057793"
"3671","SRP042228"
"3672","SRP068591"
"3673","SRP059039"
"3674","SRP068976"
"3675","SRP073813"
"3676","SRP048801"
"3677","SRP048801"
"3678","SRP073813"
"3679","SRP050003"
"3680","SRP050596"
"3681","SRP059039"
"3682","SRP060205"
"3683","SRP062966"
"3684","SRP058351"
"3685","SRP067311"
"3686","SRP069212"
"3687","SRP073813"
"3688","SRP073813"
"3689","SRP042620"
"3690","SRP069235"
"3691","SRP051844"
"3692","SRP042228"
"3693","SRP071758"
"3694","SRP073813"
"3695","SRP049408"
"3696","SRP071932"
"3697","SRP073813"
"3698","SRP045225"
"3699","SRP042228"
"3700","SRP042620"
"3701","SRP050087"
"3702","SRP062885"
"3703","SRP071203"
"3704","SRP057793"
"3705","SRP068976"
"3706","SRP062132"
"3707","SRP068591"
"3708","SRP042228"
"3709","SRP073813"
"3710","SRP073813"
"3711","SRP068591"
"3712","SRP073447"
"3713","SRP071203"
"3714","SRP059039"
"3715","SRP042620"
"3716","SRP042228"
"3717","SRP048759"
"3718","SRP073813"
"3719","SRP042620"
"3720","SRP048801"
"3721","SRP057793"
"3722","SRP071932"
"3723","SRP062966"
"3724","SRP071760"
"3725","SRP072713"
"3726","SRP055438"
"3727","SRP042620"
"3728","SRP050087"
"3729","SRP060205"
"3730","SRP048801"
"3731","SRP057793"
"3732","SRP072713"
"3733","SRP065812"
"3734","SRP062966"
"3735","SRP042620"
"3736","SRP072713"
"3737","SRP044668"
"3738","SRP042228"
"3739","SRP060205"
"3740","SRP069357"
"3741","SRP056477"
"3742","SRP057118"
"3743","SRP069212"
"3744","SRP057793"
"3745","SRP049408"
"3746","SRP062966"
"3747","SRP049820"
"3748","SRP048759"
"3749","SRP052896"
"3750","SRP058107"
"3751","SRP073813"
"3752","SRP044668"
"3753","SRP055874"
"3754","SRP049097"
"3755","SRP052740"
"3756","SRP072494"
"3757","SRP069212"
"3758","SRP052056"
"3759","SRP057793"
"3760","SRP044668"
"3761","SRP066571"
"3762","SRP042228"
"3763","SRP069212"
"3764","SRP045225"
"3765","SRP071758"
"3766","SRP070723"
"3767","SRP055730"
"3768","SRP069212"
"3769","SRP057793"
"3770","SRP073813"
"3771","SRP073813"
"3772","SRP044668"
"3773","SRP068976"
"3774","SRP073813"
"3775","SRP073191"
"3776","SRP057793"
"3777","SRP060205"
"3778","SRP052056"
"3779","SRP073813"
"3780","SRP045500"
"3781","SRP044668"
"3782","SRP052740"
"3783","SRP051844"
"3784","SRP069212"
"3785","SRP042228"
"3786","SRP051844"
"3787","SRP060205"
"3788","SRP068591"
"3789","SRP051844"
"3790","SRP052740"
"3791","SRP071203"
"3792","SRP057793"
"3793","SRP057793"
"3794","SRP048801"
"3795","SRP042228"
"3796","SRP044668"
"3797","SRP060205"
"3798","SRP060205"
"3799","SRP042228"
"3800","SRP052740"
"3801","SRP048801"
"3802","SRP068976"
"3803","SRP058667"
"3804","SRP071758"
"3805","SRP058351"
"3806","SRP071758"
"3807","SRP045500"
"3808","SRP048801"
"3809","SRP069357"
"3810","SRP057793"
"3811","SRP049820"
"3812","SRP042620"
"3813","SRP073813"
"3814","SRP069212"
"3815","SRP059039"
"3816","SRP059039"
"3817","SRP042228"
"3818","SRP065812"
"3819","SRP042228"
"3820","SRP071758"
"3821","SRP048801"
"3822","SRP048801"
"3823","SRP045225"
"3824","SRP048801"
"3825","SRP068976"
"3826","SRP059588"
"3827","SRP068591"
"3828","SRP057793"
"3829","SRP056792"
"3830","SRP073813"
"3831","SRP068976"
"3832","SRP048801"
"3833","SRP071760"
"3834","SRP062966"
"3835","SRP073813"
"3836","SRP071203"
"3837","SRP052740"
"3838","SRP056477"
"3839","SRP073447"
"3840","SRP064478"
"3841","SRP049820"
"3842","SRP045225"
"3843","SRP049408"
"3844","SRP073813"
"3845","SRP064478"
"3846","SRP042620"
"3847","SRP052740"
"3848","SRP048801"
"3849","SRP048801"
"3850","SRP068591"
"3851","SRP062966"
"3852","SRP073813"
"3853","SRP045225"
"3854","SRP052740"
"3855","SRP071758"
"3856","SRP048801"
"3857","SRP057793"
"3858","SRP045900"
"3859","SRP068976"
"3860","SRP057793"
"3861","SRP073813"
"3862","SRP057793"
"3863","SRP042228"
"3864","SRP069235"
"3865","SRP042228"
"3866","SRP066118"
"3867","SRP057793"
"3868","SRP043694"
"3869","SRP056477"
"3870","SRP049333"
"3871","SRP058107"
"3872","SRP057793"
"3873","SRP068976"
"3874","SRP068591"
"3875","SRP062132"
"3876","SRP060205"
"3877","SRP063006"
"3878","SRP062966"
"3879","SRP065491"
"3880","SRP051844"
"3881","SRP073813"
"3882","SRP062885"
"3883","SRP062966"
"3884","SRP045645"
"3885","SRP049592"
"3886","SRP073813"
"3887","SRP071932"
"3888","SRP059588"
"3889","SRP066090"
"3890","SRP073813"
"3891","SRP062966"
"3892","SRP056477"
"3893","SRP049592"
"3894","SRP060205"
"3895","SRP071760"
"3896","SRP048801"
"3897","SRP070548"
"3898","SRP068591"
"3899","SRP048801"
"3900","SRP073813"
"3901","SRP044668"
"3902","SRP052615"
"3903","SRP049820"
"3904","SRP050272"
"3905","SRP045225"
"3906","SRP050003"
"3907","SRP059588"
"3908","SRP060016"
"3909","SRP073813"
"3910","SRP073813"
"3911","SRP044668"
"3912","SRP073813"
"3913","SRP072693"
"3914","SRP062966"
"3915","SRP042228"
"3916","SRP059720"
"3917","SRP052740"
"3918","SRP073813"
"3919","SRP071760"
"3920","SRP073191"
"3921","SRP071758"
"3922","SRP056792"
"3923","SRP068591"
"3924","SRP048801"
"3925","SRP049820"
"3926","SRP048801"
"3927","SRP062132"
"3928","SRP069235"
"3929","SRP050087"
"3930","SRP042620"
"3931","SRP072693"
"3932","SRP068976"
"3933","SRP057793"
"3934","SRP073446"
"3935","SRP055874"
"3936","SRP045126"
"3937","SRP073813"
"3938","SRP071203"
"3939","SRP055438"
"3940","SRP073813"
"3941","SRP068976"
"3942","SRP071203"
"3943","SRP045225"
"3944","SRP071203"
"3945","SRP073813"
"3946","SRP042620"
"3947","SRP062966"
"3948","SRP048759"
"3949","SRP042620"
"3950","SRP057793"
"3951","SRP073813"
"3952","SRP073813"
"3953","SRP045225"
"3954","SRP073813"
"3955","SRP045225"
"3956","SRP048801"
"3957","SRP048801"
"3958","SRP048801"
"3959","SRP073191"
"3960","SRP069235"
"3961","SRP066090"
"3962","SRP056477"
"3963","SRP073813"
"3964","SRP071758"
"3965","SRP070780"
"3966","SRP068591"
"3967","SRP042620"
"3968","SRP048801"
"3969","SRP045225"
"3970","SRP048801"
"3971","SRP050551"
"3972","SRP050272"
"3973","SRP071203"
"3974","SRP068976"
"3975","SRP052740"
"3976","SRP065812"
"3977","SRP073813"
"3978","SRP048801"
"3979","SRP050551"
"3980","SRP060205"
"3981","SRP073813"
"3982","SRP048801"
"3983","SRP058722"
"3984","SRP042620"
"3985","SRP042620"
"3986","SRP050087"
"3987","SRP073813"
"3988","SRP065812"
"3989","SRP042228"
"3990","SRP066090"
"3991","SRP068976"
"3992","SRP068591"
"3993","SRP068591"
"3994","SRP042228"
"3995","SRP068976"
"3996","SRP059720"
"3997","SRP048801"
"3998","SRP042620"
"3999","SRP073813"
"4000","SRP045500"
"4001","SRP069212"
"4002","SRP071758"
"4003","SRP071758"
"4004","SRP071203"
"4005","SRP042228"
"4006","SRP071760"
"4007","SRP049820"
"4008","SRP044668"
"4009","SRP071203"
"4010","SRP069357"
"4011","SRP048801"
"4012","SRP042620"
"4013","SRP059588"
"4014","SRP048683"
"4015","SRP043694"
"4016","SRP042228"
"4017","SRP060205"
"4018","SRP068591"
"4019","SRP042228"
"4020","SRP042620"
"4021","SRP048801"
"4022","SRP042620"
"4023","SRP058667"
"4024","SRP073813"
"4025","SRP062966"
"4026","SRP051844"
"4027","SRP049097"
"4028","SRP057118"
"4029","SRP062966"
"4030","SRP056477"
"4031","SRP073813"
"4032","SRP048801"
"4033","SRP042228"
"4034","SRP056477"
"4035","SRP048801"
"4036","SRP062966"
"4037","SRP051844"
"4038","SRP073813"
"4039","SRP048801"
"4040","SRP071203"
"4041","SRP042228"
"4042","SRP049820"
"4043","SRP049820"
"4044","SRP048801"
"4045","SRP048801"
"4046","SRP047122"
"4047","SRP042228"
"4048","SRP042228"
"4049","SRP047122"
"4050","SRP062966"
"4051","SRP044668"
"4052","SRP071203"
"4053","SRP048801"
"4054","SRP071758"
"4055","SRP051844"
"4056","SRP048683"
"4057","SRP043085"
"4058","SRP073813"
"4059","SRP044668"
"4060","SRP042620"
"4061","SRP052740"
"4062","SRP045500"
"4063","SRP060205"
"4064","SRP057793"
"4065","SRP057793"
"4066","SRP061888"
"4067","SRP048801"
"4068","SRP068591"
"4069","SRP048801"
"4070","SRP073813"
"4071","SRP060205"
"4072","SRP042228"
"4073","SRP071203"
"4074","SRP071758"
"4075","SRP057793"
"4076","SRP048801"
"4077","SRP068976"
"4078","SRP068976"
"4079","SRP045225"
"4080","SRP055438"
"4081","SRP048801"
"4082","SRP068976"
"4083","SRP048801"
"4084","SRP048801"
"4085","SRP048759"
"4086","SRP068976"
"4087","SRP042620"
"4088","SRP065812"
"4089","SRP047122"
"4090","SRP055438"
"4091","SRP062966"
"4092","SRP056477"
"4093","SRP042620"
"4094","SRP069212"
"4095","SRP064165"
"4096","SRP051825"
"4097","SRP062966"
"4098","SRP063499"
"4099","SRP052056"
"4100","SRP048801"
"4101","SRP042228"
"4102","SRP052740"
"4103","SRP073813"
"4104","SRP073813"
"4105","SRP043470"
"4106","SRP059720"
"4107","SRP047122"
"4108","SRP048801"
"4109","SRP073813"
"4110","SRP056477"
"4111","SRP057793"
"4112","SRP049592"
"4113","SRP062966"
"4114","SRP068976"
"4115","SRP062966"
"4116","SRP069235"
"4117","SRP062966"
"4118","SRP050087"
"4119","SRP069212"
"4120","SRP059588"
"4121","SRP044668"
"4122","SRP073813"
"4123","SRP055874"
"4124","SRP051825"
"4125","SRP052740"
"4126","SRP065317"
"4127","SRP059588"
"4128","SRP069212"
"4129","SRP073813"
"4130","SRP044668"
"4131","SRP042228"
"4132","SRP050003"
"4133","SRP060205"
"4134","SRP051844"
"4135","SRP072693"
"4136","SRP056477"
"4137","SRP071760"
"4138","SRP051844"
"4139","SRP067311"
"4140","SRP048801"
"4141","SRP071758"
"4142","SRP073347"
"4143","SRP049408"
"4144","SRP071932"
"4145","SRP073813"
"4146","SRP073813"
"4147","SRP060205"
"4148","SRP059039"
"4149","SRP071760"
"4150","SRP044668"
"4151","SRP062885"
"4152","SRP060205"
"4153","SRP070710"
"4154","SRP042620"
"4155","SRP073813"
"4156","SRP045225"
"4157","SRP065812"
"4158","SRP073813"
"4159","SRP059039"
"4160","SRP071758"
"4161","SRP048801"
"4162","SRP070710"
"4163","SRP056604"
"4164","SRP059720"
"4165","SRP059039"
"4166","SRP049408"
"4167","SRP073347"
"4168","SRP057793"
"4169","SRP042620"
"4170","SRP042620"
"4171","SRP057793"
"4172","SRP048801"
"4173","SRP048801"
"4174","SRP045225"
"4175","SRP048801"
"4176","SRP068976"
"4177","SRP056604"
"4178","SRP042620"
"4179","SRP049408"
"4180","SRP048759"
"4181","SRP058722"
"4182","SRP056477"
"4183","SRP070710"
"4184","SRP068591"
"4185","SRP052056"
"4186","SRP057793"
"4187","SRP058107"
"4188","SRP043694"
"4189","SRP042228"
"4190","SRP042620"
"4191","SRP072494"
"4192","SRP062885"
"4193","SRP043391"
"4194","SRP049408"
"4195","SRP049592"
"4196","SRP063499"
"4197","SRP060205"
"4198","SRP065812"
"4199","SRP043085"
"4200","SRP052740"
"4201","SRP042620"
"4202","SRP068976"
"4203","SRP072494"
"4204","SRP048801"
"4205","SRP042228"
"4206","SRP064478"
"4207","SRP048801"
"4208","SRP071758"
"4209","SRP049097"
"4210","SRP071758"
"4211","SRP058722"
"4212","SRP073813"
"4213","SRP052740"
"4214","SRP052740"
"4215","SRP051844"
"4216","SRP056477"
"4217","SRP071203"
"4218","SRP062966"
"4219","SRP073813"
"4220","SRP062966"
"4221","SRP072693"
"4222","SRP042620"
"4223","SRP043085"
"4224","SRP071203"
"4225","SRP052615"
"4226","SRP065193"
"4227","SRP071760"
"4228","SRP048683"
"4229","SRP068591"
"4230","SRP062966"
"4231","SRP049408"
"4232","SRP059039"
"4233","SRP073813"
"4234","SRP072494"
"4235","SRP071758"
"4236","SRP068591"
"4237","SRP043085"
"4238","SRP062966"
"4239","SRP049592"
"4240","SRP068591"
"4241","SRP066118"
"4242","SRP048801"
"4243","SRP047122"
"4244","SRP042620"
"4245","SRP060205"
"4246","SRP073813"
"4247","SRP062885"
"4248","SRP048759"
"4249","SRP056477"
"4250","SRP071203"
"4251","SRP048801"
"4252","SRP057793"
"4253","SRP073813"
"4254","SRP070780"
"4255","SRP068591"
"4256","SRP042228"
"4257","SRP072494"
"4258","SRP055874"
"4259","SRP073813"
"4260","SRP042228"
"4261","SRP049710"
"4262","SRP049408"
"4263","SRP062966"
"4264","SRP049710"
"4265","SRP062132"
"4266","SRP064478"
"4267","SRP057793"
"4268","SRP048801"
"4269","SRP073813"
"4270","SRP042620"
"4271","SRP056477"
"4272","SRP073813"
"4273","SRP071760"
"4274","SRP059039"
"4275","SRP057793"
"4276","SRP059588"
"4277","SRP048801"
"4278","SRP071758"
"4279","SRP073191"
"4280","SRP073813"
"4281","SRP052740"
"4282","SRP062132"
"4283","SRP045645"
"4284","SRP062885"
"4285","SRP048683"
"4286","SRP073813"
"4287","SRP060205"
"4288","SRP060205"
"4289","SRP057793"
"4290","SRP069212"
"4291","SRP073813"
"4292","SRP072693"
